/,Tatooine,Asgard,Namecc,Arrakis,Krypton,Pandora,Cybertron,Ego,Montressosr,Klyntar
Tatooine,0,695,641,109,661,1130,344,835,731,530
Asgard,695,0,550,781,188,473,493,156,240,479
Namecc,641,550,0,651,367,987,728,688,767,845
Arrakis,109,781,651,0,727,1227,454,926,834,640
Krypton,661,188,367,727,0,626,557,321,422,599
Pandora,1130,473,987,1227,626,0,847,317,413,731
Cybertron,344,493,728,454,557,847,0,594,434,186
Ego,835,156,688,926,321,317,594,0,215,532
Montressosr,731,240,767,834,422,413,434,215,0,331
Klyntar,530,479,845,640,599,731,186,532,331,0
